Posno,StationID,perc_dest,perc_origin
180,30,1.7,0
580,126,1.69,1.78
520,113,1.42,1.85
560,137,1.18,1.16
2150,541,1.16,1.15
530,41,1.02,1.66
2150,547,1.01,1.02
100,21,0.9,0
810,259,0.82,0.8
540,124,0.8,0.93
100,22,0.77,0
500,121,0.76,1.03
100,26,0.76,0
300,89,0.73,0.82
330,94,0.72,0.72
100,71,0.71,1.13
530,122,0.71,1.06
100,19,0.7,0
510,118,0.68,0.79
2200,581,0.68,0.65
530,123,0.67,1.02
510,45,0.64,0.88
510,116,0.63,0.88
250,90,0.63,0.68
500,44,0.62,0.8
550,134,0.62,0.67
250,39,0.62,0
180,63,0.61,1.13
200,57,0.61,0.84
100,72,0.61,0.78
250,82,0.6,0.81
560,138,0.6,0.6
180,29,0.6,0
250,91,0.59,0.69
180,6,0.58,0
250,75,0.57,0.88
100,150,0.57,0.65
2600,727,0.57,0.54
160,12,0.57,0
550,133,0.55,0.63
610,142,0.55,0.58
170,16,0.55,0
510,117,0.54,0.71
350,101,0.54,0.55
100,25,0.54,0
100,36,0.54,0
200,54,0.53,0.65
560,140,0.53,0.54
100,31,0.53,0
530,40,0.51,0.92
250,78,0.51,0.75
2230,625,0.51,0.46
560,141,0.5,0.54
520,112,0.5,0.53
790,239,0.5,0.51
810,260,0.5,0.5
140,1,0.5,0
170,17,0.5,0
250,74,0.49,0.65
200,56,0.49,0.56
2650,731,0.49,0.36
100,37,0.49,0
220,64,0.48,1.11
250,76,0.48,0.77
330,95,0.47,0.5
250,77,0.46,0.69
540,125,0.46,0.54
2230,627,0.46,0.47
2200,573,0.46,0.45
580,127,0.44,0.49
330,96,0.44,0.46
240,111,0.43,0.54
2100,517,0.43,0.43
2200,579,0.43,0.42
130,9,0.43,0
300,105,0.42,0.44
100,23,0.41,0
520,115,0.4,0.53
570,245,0.4,0.44
200,58,0.39,0.7
250,80,0.39,0.55
340,163,0.39,0.39
210,52,0.38,0.49
930,275,0.38,0.39
2600,711,0.38,0.36
130,11,0.38,0
180,62,0.37,0.77
530,202,0.37,0.59
290,81,0.37,0.48
150,5,0.37,0
100,20,0.37,0
2150,543,0.36,0.35
100,24,0.36,0
500,120,0.35,0.49
550,129,0.35,0.49
2100,519,0.35,0.37
330,93,0.35,0.34
180,69,0.34,0.56
270,85,0.34,0.52
500,87,0.34,0.51
210,53,0.34,0.5
270,86,0.34,0.46
520,114,0.34,0.43
240,110,0.34,0.42
280,107,0.34,0.4
520,135,0.34,0.36
610,144,0.34,0.36
260,38,0.34,0
180,61,0.33,0.62
100,162,0.33,0.59
